dossierid,lat,lon,dist_m,value_schilling,in_kind_share,n_docs
HGB_1_146_043,47.560091,7.586806,332.48368500601265,100.0,0.0,1
HGB_1_146_044,47.560077,7.586841,329.9140960943598,230.0,0.0,37
HGB_1_146_045,47.56001,7.586987,318.39106625410017,225.0,0.0,20
HGB_1_146_050,47.559872,7.586972,305.12537746926233,350.0,0.0,34
HGB_1_146_051,47.559704,7.586776,295.8456890657128,2031.0,0.0,20
HGB_1_146_052,47.559741,7.58668,303.0588946365753,990.0,0.0,19
HGB_1_146_054,47.559751,7.586664,304.6506300020352,721.0,0.3333333333333333,1
HGB_1_146_055,47.55978,7.586615,309.4301265251687,250.0,0.02525252525252525,40
HGB_1_146_056,47.559809,7.58657,313.85034588202325,200.0,0.006060606060606061,40
HGB_1_146_059,47.559914,7.58666,320.38799097718083,605.0,0.020833333333333332,16
HGB_1_146_060,47.559946,7.586697,322.138942297984,60.0,0.0,18
HGB_1_146_061,47.559946,7.586697,322.138942297984,600.0,0.0,11
HGB_1_146_062,47.559987,7.586762,323.77355617757837,34.5,0.35904761904761906,45
HGB_1_146_063,47.559912,7.586915,311.0413859114523,550.0,0.0,14
HGB_1_147_009,47.559712,7.586002,330.18780503480815,,,1
HGB_1_147_011,47.559682,7.58594,330.66543781529487,81.0,0.1111111111111111,22
HGB_1_147_012,47.560763,7.586481,410.4270742519212,2850.0,0.0,9
HGB_1_147_013,47.560655,7.586472,399.8729226398633,1430.75,0.0,16
HGB_1_147_014,47.56055,7.586444,390.3757375664665,200.0,0.0606060606060606,18
HGB_1_147_015,47.560523,7.586437,387.9037359937195,500.0,0.0,1
HGB_1_147_016,47.560496,7.58643,385.4405837786777,220.0,0.125,23
HGB_1_147_017,47.560398,7.586408,376.63835293384295,84.0,0.0,32
HGB_1_147_019,47.560352,7.586396,372.54340956890076,1760.0,0.0,6
HGB_1_147_020,47.560315,7.586411,368.4677242343029,73.0,0.007692307692307693,34
HGB_1_147_022,47.559707,7.586079,326.1073433322204,4254.0,0.0,20
HGB_1_147_023,47.559668,7.586017,325.74482631582435,7041.75,0.0,17
HGB_1_147_024,47.559668,7.586017,325.74482631582435,40.0,0.0,13
HGB_1_147_025,47.55961,7.586124,315.6198456287228,37.25,0.0,7
HGB_1_147_026,47.559668,7.586017,325.74482631582435,41.0,0.0,3
HGB_1_147_028,47.561099,7.586676,439.01502293701856,3330.0,0.0,13
HGB_1_147_029,47.561076,7.58665,437.30470017340036,310.0,0.0,23
HGB_1_147_030,47.561076,7.58665,437.30470017340036,4023.0,0.0,8
HGB_1_147_031,47.561005,7.586571,432.2827320497523,35.0,0.0,13
HGB_1_147_032,47.560977,7.586528,430.69701317968145,880.0,0.0,31
HGB_1_147_033,47.560951,7.586489,429.1908367870106,2100.0,0.03125,20
HGB_1_147_034,47.560911,7.586434,426.81762416312256,2100.0,0.05555555555555555,21
HGB_1_147_035,47.560921,7.586448,427.4041050516807,960.0,0.5,2
HGB_1_147_037,47.560985,7.586223,441.1084517704989,1400.0,0.0,23
HGB_1_147_038,47.561039,7.586182,447.86935490208356,34.5,0.0,24
HGB_1_147_039,47.561326,7.586321,472.50593080976665,1380.0,0.0,2
HGB_1_147_040,47.561062,7.58614,451.477582150193,1577.9166666666667,0.0,18
HGB_1_147_041,47.561125,7.586103,459.0254316698442,194.0,0.0,25
HGB_1_147_042,47.560996,7.585965,450.972090804856,125.0,0.0,31
HGB_1_147_043,47.56096,7.585933,448.5743180415181,160.0,0.0,31
HGB_1_147_044,47.560939,7.586013,443.74179848419885,,,1
HGB_1_147_045,47.560919,7.586092,438.9496344447381,1360.0,0.0,6
HGB_1_147_046,47.560784,7.586315,417.9466004161394,5561.5,0.0,25
HGB_1_147_048,47.560784,7.586315,417.9466004161394,6.0,0.0,16
HGB_1_147_049,47.560793,7.586318,418.7459929510008,740.0,0.0,13
HGB_1_147_051,47.560578,7.586271,399.0985391121895,3.0,0.0,18
HGB_1_147_053,47.560322,7.586241,375.4657295953553,137.5,0.0,41
HGB_1_147_054,47.560106,7.586068,362.2398872599176,2000.0,0.0,30
HGB_1_147_056,47.559791,7.585986,337.8191098804255,,,11
HGB_1_147_057,47.559774,7.585957,337.6504917424494,213.0,0.0,49
HGB_1_147_063,47.55971,7.585862,336.8296288111833,1228.0,0.0,3
HGB_1_147_064,47.55971,7.585862,336.8296288111833,436.0,0.0,1
HGB_1_147_065,47.55971,7.585862,336.8296288111833,47.0,0.0,1
HGB_1_147_066,47.55971,7.585862,336.8296288111833,760.0,0.1111111111111111,5
HGB_1_147_068,47.55967,7.58579,337.0833494659596,10500.0,0.0,11
HGB_1_147_069,47.559585,7.5857,334.84587037155194,80.0,0.0,7
HGB_1_147_070,47.559545,7.585668,333.2644977909072,5000.0,0.0,4
HGB_1_147_071,47.559515,7.585652,331.7906172236891,40.0,0.0,6
HGB_1_147_072,47.559472,7.585647,328.7595728360553,10.0,0.0,21
HGB_1_148_007,47.557441,7.584306,337.5146088415964,,,4
HGB_1_148_008,47.557874,7.584388,335.19518745955446,1800.0,0.0,6
HGB_1_148_009,47.561367,7.586242,478.99003266953025,146.0,0.0,40
HGB_1_148_022,47.560767,7.585146,462.39407254686176,,,5
HGB_1_148_023,47.55987,7.584565,418.7683076396315,40.0,0.0,7
